Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4259365038,chicagoputz,0,633.5,G Rory McIlroy G Xander Schauffele G Akshay Bhatia G Rickie Fowler G Emiliano Grillo G Nick Dunlap,,Sahith Theegala,G,46.15%,52.5
2,4257222839,darksidefan,0,588,G Rory McIlroy G Justin Thomas G Alex Noren G Akshay Bhatia G Denny McCarthy G Taylor Moore,,Rory McIlroy,G,38.46%,144
3,4256731782,Jph315,0,581.5,G Rory McIlroy G Xander Schauffele G Tom Hoge G Andrew Putnam G Matthieu Pavon G Nick Taylor,,Wyndham Clark,G,30.77%,55
4,4258781569,mlewicki,0,538,G Max Homa G Sahith Theegala G Cameron Young G Byeong Hun An G Shane Lowry G Taylor Moore,,Justin Thomas,G,30.77%,57
5,4256946078,jabella72,0,514.5,G Rory McIlroy G Sahith Theegala G Justin Thomas G Will Zalatoris G Jake Knapp G Kevin Tway,,Akshay Bhatia,G,30.77%,52
6,4256743777,andcohen2525,0,509.5,G Xander Schauffele G Si Woo Kim G Alex Noren G Tom Hoge G Chris Kirk G J.T. Poston,,Xander Schauffele,G,23.08%,101.5
7,4259064097,concord,0,504.5,G Sahith Theegala G Justin Thomas G Russell Henley G Byeong Hun An G Brian Harman G Will Zalatoris,,Max Homa,G,23.08%,84
8,4259444729,American-Dream,0,499.5,G Max Homa G Collin Morikawa G Matt Fitzpatrick G Shane Lowry G Akshay Bhatia G Sepp Straka,,Will Zalatoris,G,23.08%,41.5
9,4258942677,JonBuc1,0,487.5,G Wyndham Clark G Sahith Theegala G Cameron Young G Sam Burns G Denny McCarthy G Matthieu Pavon,,Collin Morikawa,G,15.38%,63.5
10,4258185953,gapfaff,0,458,G Wyndham Clark G Sahith Theegala G Si Woo Kim G Sam Burns G Stephan Jaeger G Brendon Todd,,Hideki Matsuyama,G,15.38%,0
11,4256782887,boyewsky,0,434.5,G Rory McIlroy G Sahith Theegala G Hideki Matsuyama G Will Zalatoris G Nick Taylor G Lee Hodges,,Cameron Young,G,15.38%,70.5
12,4256728300,ryanhupfer,0,433,G Wyndham Clark G Collin Morikawa G Justin Thomas G Jordan Spieth G Rickie Fowler G Eric Cole,,Si Woo Kim,G,15.38%,60
13,4259498324,jimm743,0,429.5,G Wyndham Clark G Max Homa G Hideki Matsuyama G Akshay Bhatia G Chris Kirk G Austin Eckroat,,Alex Noren,G,15.38%,63.5
14,4259498324,magic_21,0,427.5,G Wyndham Clark G Max Homa G Hideki Matsuyama G Akshay Bhatia G Chris Kirk G Austin Eckroat,,Alex Noren,G,15.38%,63.5
15,4259498324,cmilly-97,0,400,G Wyndham Clark G Max Homa G Hideki Matsuyama G Akshay Bhatia G Chris Kirk G Austin Eckroat,,Alex Noren,G,15.38%,63.5
16,4259498324,NPitz14,0,378,G Wyndham Clark G Max Homa G Hideki Matsuyama G Akshay Bhatia G Chris Kirk G Austin Eckroat,,Alex Noren,G,15.38%,63.5
,,,,,,,Byeong Hun An,G,15.38%,104.5
,,,,,,,Sam Burns,G,15.38%,73.5
,,,,,,,Shane Lowry,G,15.38%,50
,,,,,,,Denny McCarthy,G,15.38%,76.5
,,,,,,,Tom Hoge,G,15.38%,62
,,,,,,,Chris Kirk,G,15.38%,47.5
,,,,,,,Rickie Fowler,G,15.38%,58
,,,,,,,Taylor Moore,G,15.38%,56
,,,,,,,Matthieu Pavon,G,15.38%,32
,,,,,,,Nick Taylor,G,15.38%,55
,,,,,,,Matt Fitzpatrick,G,7.69%,43
,,,,,,,Jordan Spieth,G,7.69%,66
,,,,,,,Russell Henley,G,7.69%,70.5
,,,,,,,Brian Harman,G,7.69%,47
,,,,,,,Stephan Jaeger,G,7.69%,69.5
,,,,,,,Sepp Straka,G,7.69%,78
,,,,,,,J.T. Poston,G,7.69%,44.5
,,,,,,,Andrew Putnam,G,7.69%,54
,,,,,,,Austin Eckroat,G,7.69%,40.5
,,,,,,,Brendon Todd,G,7.69%,47.5
,,,,,,,Jake Knapp,G,7.69%,49.5
,,,,,,,Eric Cole,G,7.69%,30.5
,,,,,,,Emiliano Grillo,G,7.69%,45.5
,,,,,,,Kevin Tway,G,7.69%,50
,,,,,,,Lee Hodges,G,7.69%,61
,,,,,,,Nick Dunlap,G,7.69%,69
